Creative,Adset,GTM,CAC vs own best,CAC vs cohort,Spend
sarkarikaam_aadharcard_aixaadharcard_talkingobjectxtedtalkxscreen_20feb_creator_expansion_ujjawalxedit_m10_expansion_anshumali_hook1,top - 1 - sarkari kaam,false,44.3× best,₹620.8 vs ₹644.0 cohort,₹438.0L
horxother_track342_seekho_organisehomexdiy_aixsunita_kathputlixcartoonedit_animation_ai_21apr26_aniket_expansion_exp_format_agency_pc_ext_shivam_pawanxedit_diy_hook1,retargeting installer,false,1.6× best,₹512.0 vs ₹644.0 cohort,₹16.4L
business catalogue ads,business catalogue adset,false,1.9× best,₹354.4 vs ₹644.0 cohort,₹14.8L
utilisetime_track14_seekho_ameeersecret_nikhil_testimonialxchores_face_human_5may26_pc_expansion_exp_format_agency_pc_ext_anshumali_nikhilxedit_utilise_hook3,top - 14 - utilise time,false,2.3× best,₹865.0 vs ₹644.0 cohort,₹12.2L
astrosamadhaan_seekho_noastrobeliefxkarzxmicrodrama_aixfooditems_talkingobject_animation_ai_8apr26_pc_new_new_script_agency_pc_ext_shivam_bhaveshxedit_astrology_hook3_track55,top - 55 - astro samadhaan,false,1.9× best,₹542.1 vs ₹644.0 cohort,₹10.3L
utilisetime_track14_seekho_ameersecretapp_aixevilpanipuri_talkingobject_face_ai_25apr26_pc_expansion_exp_creator_agency_pc_ext_anshumali_pawanxedit_utilise_hook3,top - 14 - utilise time,false,38.0× best,₹12567.9 vs ₹644.0 cohort,₹8.8L
facebook_track153_seekho_viewsstuckxvisual_om_tv_face_human_9may26_pc_expansion_exp_format_agency_pc_ext_shivam_omxedit_facebook_hook1,top - 153 - facebook(aaa),false,2.4× best,₹551.5 vs ₹644.0 cohort,₹4.9L
finance_timewastexfinance_mix6janxasmrexp_asmr_1jan_faceless_expansion_m1_asmrexp_hook3_track12,top - 12 - finance,false,1.9× best,₹769.1 vs ₹644.0 cohort,₹4.8L
finance_timewastexfinance_mix5janxasmrexp_asmr_1jan_faceless_expansion_m1_asmrexp_hook3_track12,top - 12 - finance,false,1.7× best,₹358.1 vs ₹644.0 cohort,₹4.6L
sharemarket_track15_seekho_smxscreener_aixsmxobjects_aiedit_animation_ai_2may26_kartik_new_new_script_agency_pc_ext_shivam_ujjawalxedit_sharemarket,top - 15 - stock market - 2,false,2.1× best,₹726.5 vs ₹644.0 cohort,₹4.2L
finance_track12_seekho_loankibheekh_moses_humanxtalkingobject_face_human_4may26_pc_expansion_exp_creator_agency_pc_ext_anshumali_raghavxedit_finance_hook2,top - 12 - finance,false,2.6× best,₹674.9 vs ₹644.0 cohort,₹4.2L
diy_track117_seekho_smartxhomemaker_aixsuman_cartoonedit77_animation_ai_19may26_pc_new_new_script_agency_pc_ext_shivam_ritaxedit_diy_hook3,top - 117 - diy - 2,false,2.9× best,₹931.5 vs ₹644.0 cohort,₹3.2L
sharemarket_track15_seekho_marketopenxsm_nikhil_wbpov_animation_ai_11may26_pc_expansion_exp_format_agency_pc_ext_shivam_nikhilxedit_sharemarket_hook1,top - 15 - stock market,false,1.9× best,₹556.1 vs ₹644.0 cohort,₹2.9L
horxother_track342_seekho_patixpromotion_aixredeyepriya_microdrama_face_ai_13may26_pc_expansion_exp_creator_agency_pc_ext_anshumali_ujjawalxedit_career_hook2,horxother,false,1.8× best,₹540.6 vs ₹644.0 cohort,₹2.8L
sharemarket_track15_seekho_aiedit_aixbullfamily_ytxcomparexsm_animation_ai_25may26_piyush_new_new_script_agency_pc_ext_shivam_roshanxedit_sharemarket,retargeting installer,false,4.4× best,₹8243.2 vs ₹644.0 cohort,₹2.4L
utilisetime_gadhamajdoorixcrafto_nikhil_wb_4apr_creator_expansion_m1 _expansion_anshumali_pc_track14,top - 14 - utilise time,false,10.0× best,₹3300.0 vs ₹644.0 cohort,₹2.2L
horxother_track342_seekho_erickshawxpti_aixerickshaw_aiedit_animation_ai_14may26_pc_expansion_exp_format_agency_pc_ext_shivam_bhaveshxedit_pti_hook2,horxother,false,2.3× best,₹590.8 vs ₹644.0 cohort,₹2.1L
finance_track12_seekho_lowcibiloan_moon_miniaturehuman_animation_ai_8may26_pc_expansion_exp_format_agency_pc_ext_anshumali_bhaveshxedit_finance_hook2,top - 12 - finance (aa),false,1.7× best,₹796.8 vs ₹644.0 cohort,₹2.0L
horxother_track342_seekho_gharkinaari_raksha_chores_face_human_9may26_pc_expansion_exp_creator_agency_pc_ext_anshumali_raghavxedit_career_hook2,horxother,false,1.7× best,₹608.9 vs ₹644.0 cohort,₹2.0L
instautilisetime70_viewsstuckxvisual_nikhil_laptoppov_10feb_faceless_expansion_m1_inhouse_hook2_rework_26may_track285,top - 35 - instagram(aa),false,2.4× best,₹538.7 vs ₹876.7 cohort,₹1.8L
seekhotelugu_eng_learnxenglish_womenxgivingxspeech_slingshot creations_ai_face_21may26_exp_persona_agency_shashank_sling_track324_24may,seekhotelugu,false,3.2× best,₹864.0 vs ₹644.0 cohort,₹1.5L
diy_track117_seekho_smartxhomemaker_aixmango_talkingobject_animation_ai_23may26_pc_expansion_exp_format_agency_pc_ext_shivam_sachinxedit_diy_hook2,top - 117 - diy - 2,false,3.3× best,₹358.6 vs ₹644.0 cohort,₹1.4L
horxother_track342_seekho_ericksahwxcareer_aixfatpriya_microdrama_face_ai_2may26_pc_expansion_exp_creator_agency_pc_ext_anshumali_ujjawalxedit_career_hook3,top - 342 - horxother,false,61.2× best,₹673.0 vs ₹644.0 cohort,₹1.1L
utilise_protalker_mix19sep7_asmr_21sep_faceless_newtopic_fe_track14,utilise time,false,2.2× best,₹1099.2 vs ₹644.0 cohort,₹0.9L
