Creative,Adset,Cluster,GTM,Status,State,Spend
astrosamadhan_track55,astro,astro | (untagged),false,live,HEALTHY,₹0.4L
astrosamadhaan_track55_ranjeetpanwalaxsamadhan_ashulal_veo3_face_ai_05june26_livegen_new_newscript_performance_aniket_ext,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.2L
astrosamadhaan_track55_betikishadisekarzchadha_ashulal_cartoonedit_face_ai_05june26_livegen_new_newscript_performance_aniket_hook2_ext,astrosamadhaan,astrosamadhaan | (untagged),false,paused,TOO_YOUNG,₹0.2L
astrosamadhaan_track55_seekho_paisaruktahai_aixastrologer_testimonial_face_ai_5jun26_pc_new_new_script_agency_pc_ext_mandle_ujjawalxedit_astrology_hook2,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.2L
astrosamadhaan_track55_seekho_kismatbadalni_aixdevta_aiedit_face_ai_5jun26_pc_new_new_script_agency_pc_ext_mandle_nehaxedit_astrology_hook3,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.2L
astrosamadhaan_track55_seekho_profilecheck_aixastrologer_testimonial_face_ai_6jun26_pc_new_new_format_agency_pc_ext_mandle_nehaxedit_astrology_hook3,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.2L
astrosamadhaan_track55_seekho_fakeastrologers_dhawi_testimonialxchores_face_human_6jun26_khandelwal_new_new_script_agency_pc_ext_mandle_nikhilxedit_astrology_hook3,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.2L
astrosamadhaan_track55_seekho_gharmetension _aixasmraunty_closeupxvlog_face_ai_5jun26_pc_new_new_script_agency_pc_ext_mandle_ujjawalxedit_astrology_hook1,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.2L
astrosamadhaan_track55_seekho_fakeastrologers_aixastrologer_testimonial_face_ai_6jun26_pc_new_new_format_agency_pc_ext_mandle_nehaxedit_astrology_hook1,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.1L
astrosamadhaan_track55_karzmuktixdhandhabarbaad_ashulal_cartoonedit_face_ai_04june26_livegen_new_newscript_performance_aniket_ext,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.1L
astrosamadhaan_track55_seekho_breakupkebaad_aixastrologer_testimonial_face_ai_6jun26_pc_new_new_format_agency_pc_ext_mandle_nehaxedit_astrology_hook2,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.1L
astrosamadhaan_track55_pramodkashaantiniwaas162_arun_microdrama_face_ai_30may26_livegen_new_newscript_performance_aniket_hook2_ext,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.1L
astrosamadhaan_track55_seekho_rishtemeladaai_aixasmrgirl_closeupxvlog_face_ai_6jun26_pc_new_new_format_agency_pc_ext_mandle_bhaveshxedit_astrology_hook1,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.1L
astrosamadhaan_track55_seekho_9grahakakaam_aixastrologer_aiedit_animation_ai_4jun26_pc_new_new_script_agency_pc_ext_mandle_ritaxedit_astrology_hook3,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.1L
astrosamadhaan_track55_sahipoojagalatupaay_ashulal_cartoonedit_face_ai_04june26_livegen_new_newscript_performance_aniket_ext,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.1L
astrosamadhaan_track55_shukradashaxrickshawx146_arun_microdrama_face_ai_29may26_livegen_new_newscript_performance_aniket_hook3_ext,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.1L
astrosamadhaan_track55_seekho_jyotishsamazh_aixastrologer_cartoonedit_animation_ai_1jun26_pc_new_new_script_agency_pc_ext_mandle_ritaxedit_astrology_hook1,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.1L
astrosamadhaan_track55_samastipurkaakashxastro_ashulal_cartoonedit_face_ai_04june26_livegen_new_newscript_performance_ram_hook2_ext,astrosamadhaan,astrosamadhaan | (untagged),false,paused,TOO_YOUNG,₹0.1L
astrosamadhaan_track55_90lakhkakarzxrozhanumaanchalisa_ashulal_cartoonedit_face_ai_04june26_livegen_new_newscript_performance_aniket_ext,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.1L
astrosamadhaan_track55_seekho_karznoastrobelief_aixman_talkingobject_animation_ai_4jun26_pc_expansion_exp_format_agency_pc_ext_mandle_ritaxedit_astrology_hook1,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.1L
astrosamadhaan_track55_seekho_mehnatkafal_aixbaba_podcast_face_ai_5jun26_pc_new_new_script_agency_pc_ext_mandle_ujjawalxedit_astrology_hook3,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.1L
astrosamadhaan_track55_munnapainterkarzxwallettalking_ashulal_cartoonedit_face_ai_04june26_livegen_new_newscript_performance_ram_hook2_ext,astrosamadhaan,astrosamadhaan | (untagged),false,paused,TOO_YOUNG,₹0.1L
astrosamadhaan_track55_seekho_mohallekashani_aixshani_cartoon3edit_animation_ai_8jun26_pc_new_new_script_agency_pc_ext_mandle_ritaxedit_astrology_hook3,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.1L
astrosamadhaan_track55_sadshaykaaccicdentxkarzmukti_ashulal_cartoonedit_face_ai_04june26_livegen_new_newscript_performance_aniket_ext,astrosamadhaan,astrosamadhaan | (untagged),false,live,TOO_YOUNG,₹0.1L
